OBJECTID,INCNUM,SERVICE_TYPE,OCCURRED_DT,OCCURRED_TM,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,DISPOSITION,STREET_N,STREET,STREET_T,STREET_G,CITY,CITNUM,SEX,RACE,CIT_AGE,CIT_WEAPON,CIT_COND_TYPE,OFFNUM,OFF_WEAPON,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,OFF_COND_TYPE
78,6784,Call For Service,2014/10/18,20:15:00,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,,Justified,3778,East,Street,S,Indpls,1712,Male,Black,22,Suspect - Misc Weapon,Gunshot Wound,2305,IMPD - Shotgun,White,Male,39,10,No injuries noted or visible
79,5393,Call For Service,2014/10/29,09:19:00,OPERATIONS DIVISION,NORTH DISTRICT,ND DAY SHIFT,ND DAY SHIFT,Justified,5925,71st,Street,E,Indianapolis,1805,Male,Black,29,Suspect - Handgun,No injuries noted or visible,1086,IMPD - Duty Handgun,White,Male,52,29,No injuries noted or visible
80,5537,Investigation,2014/11/10,18:32:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,,,5459,Lalista,Court,,Indianapolis,1947,Male,Hispanic,25,Suspect - Misc Weapon,No injuries noted or visible,3019,IMPD - Duty Handgun,White,Male,29,4,No injuries noted or visible
81,6786,Call For Service,2014/12/13,17:57:00,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,,Justified,3742,Sherman Forest,Drive,,Indpls,2566,Male,Black,42,Suspect - Unarmed,Gunshot Wound,2982,IMPD - Duty Handgun,White,Male,29,4,No injuries noted or visible
82,6327,Investigation,2015/01/02,21:08:00,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,,,5054,Ribble,Road,E,Indianapolis,2426,Male,Black,27,Suspect - Misc Weapon,No injuries noted or visible,2911,IMPD - Duty Handgun,White,Male,32,4,
83,6424,Call For Service,2015/01/10,02:08:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,,,2318,Kenwood,Avenue,N,Indianapolis,2537,Male,Black,32,Suspect - Handgun,Gunshot Wound,828,IMPD - Duty Handgun,White,Male,36,12,
84,7309,Investigation,2015/01/15,19:01:00,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,,,10000,John Marshall,Drive,E,Indianapolis,2583,Male,Black,27,Suspect - Handgun,Gunshot Wound,3065,IMPD - Duty Handgun,Black,Male,33,3,Gunshot Wound
85,7085,Call For Service,2015/02/21,16:09:00,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,,,1804,Heather,Circle,,Indianapolis,2984,Male,White,51,Suspect - Knife,Gunshot Wound,2574,IMPD - Duty Handgun,Black,Male,31,7,
86,7085,Call For Service,2015/02/21,16:09:00,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,,,1804,Heather,Circle,,Indianapolis,2984,Male,White,51,Suspect - Knife,Gunshot Wound,2889,IMPD - Duty Handgun,White,Male,35,5,
87,7425,Call For Service,2015/03/11,15:28:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,,,6378,35th,Place,W,Indianapolis,3265,M,B,17,Suspect - Handgun,,2745,IMPD - Duty Handgun,White,Male,33,8,
88,7802,Call For Service,2015/03/22,21:55:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,,,5435,34th,Street,W,Indianapolis,3669,Male,Black,24,Suspect - Misc Weapon,Gunshot Wound,1376,IMPD - Patrol Rifle,White,Male,37,13,
89,7802,Call For Service,2015/03/22,21:55:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,,,5435,34th,Street,W,Indianapolis,3669,Male,Black,24,Suspect - Misc Weapon,Gunshot Wound,1418,IMPD - Duty Handgun,White,Male,37,13,
90,7802,Call For Service,2015/03/22,21:55:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,,,5435,34th,Street,W,Indianapolis,3669,Male,Black,24,Suspect - Misc Weapon,Gunshot Wound,1120,IMPD - Duty Handgun,White,Male,50,17,
91,7802,Call For Service,2015/03/22,21:55:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,,,5435,34th,Street,W,Indianapolis,3670,Male,Black,19,Suspect - Unarmed,Gunshot Wound,1376,IMPD - Patrol Rifle,White,Male,37,13,
92,7802,Call For Service,2015/03/22,21:55:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,,,5435,34th,Street,W,Indianapolis,3670,Male,Black,19,Suspect - Unarmed,Gunshot Wound,1418,IMPD - Duty Handgun,White,Male,37,13,
93,7802,Call For Service,2015/03/22,21:55:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,,,5435,34th,Street,W,Indianapolis,3670,Male,Black,19,Suspect - Unarmed,Gunshot Wound,1120,IMPD - Duty Handgun,White,Male,50,17,
94,8154,Call For Service,2015/04/06,00:12:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,,5728,Ashby,Drive,,Indianapolis,3537,Male,White,23,Suspect - Rifle,Gunshot Wound,2235,IMPD - Duty Handgun,White,Male,48,14,
95,8154,Call For Service,2015/04/06,00:12:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,,5728,Ashby,Drive,,Indianapolis,3537,Male,White,23,Suspect - Handgun,Gunshot Wound,2235,IMPD - Duty Handgun,White,Male,48,14,
96,8154,Call For Service,2015/04/06,00:12:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,,5728,Ashby,Drive,,Indianapolis,3537,Male,White,23,Suspect - Rifle,Gunshot Wound,1493,Personal Patrol Rifle,White,Male,36,12,
97,8154,Call For Service,2015/04/06,00:12:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,,5728,Ashby,Drive,,Indianapolis,3537,Male,White,23,Suspect - Handgun,Gunshot Wound,1493,Personal Patrol Rifle,White,Male,36,12,
98,8154,Call For Service,2015/04/06,00:12:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,,5728,Ashby,Drive,,Indianapolis,3537,Male,White,23,Suspect - Rifle,Gunshot Wound,2223,IMPD - Patrol Rifle,Asian,Female,42,10,
99,8154,Call For Service,2015/04/06,00:12:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,,5728,Ashby,Drive,,Indianapolis,3537,Male,White,23,Suspect - Handgun,Gunshot Wound,2223,IMPD - Patrol Rifle,Asian,Female,42,10,
100,8154,Call For Service,2015/04/06,00:12:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,,5728,Ashby,Drive,,Indianapolis,3537,Male,White,23,Suspect - Rifle,Gunshot Wound,2134,IMPD - Duty Handgun,White,Male,44,18,
101,8154,Call For Service,2015/04/06,00:12:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,,5728,Ashby,Drive,,Indianapolis,3537,Male,White,23,Suspect - Handgun,Gunshot Wound,2134,IMPD - Duty Handgun,White,Male,44,18,
102,8154,Call For Service,2015/04/06,00:12:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,,5728,Ashby,Drive,,Indianapolis,3537,Male,White,23,Suspect - Rifle,Gunshot Wound,569,Personal Shotgun,White,Male,47,17,
103,8154,Call For Service,2015/04/06,00:12:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,,5728,Ashby,Drive,,Indianapolis,3537,Male,White,23,Suspect - Handgun,Gunshot Wound,569,Personal Shotgun,White,Male,47,17,
104,8154,Call For Service,2015/04/06,00:12:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,,5728,Ashby,Drive,,Indianapolis,3537,Male,White,23,Suspect - Rifle,Gunshot Wound,3070,IMPD - Duty Handgun,White,Female,28,3,
105,8154,Call For Service,2015/04/06,00:12:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,,5728,Ashby,Drive,,Indianapolis,3537,Male,White,23,Suspect - Handgun,Gunshot Wound,3070,IMPD - Duty Handgun,White,Female,28,3,
106,8713,Traffic Stop,2015/04/12,15:16:00,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,,,3828,31st,Street,E,Indianapolis,3620,M,B,34,,Gunshot Wound,2911,IMPD - Duty Handgun,White,Male,33,5,Laceration
107,8713,Traffic Stop,2015/04/12,15:16:00,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,,,3828,31st,Street,E,Indianapolis,3620,M,B,34,,Gunshot Wound,2911,IMPD - Duty Handgun,White,Male,33,5,Gunshot Wound
108,8713,Traffic Stop,2015/04/12,15:16:00,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,,,3828,31st,Street,E,Indianapolis,3620,M,B,34,,Gunshot Wound,2973,IMPD - Duty Handgun,White,Male,28,5,
109,9043,Call For Service,2015/06/14,00:56:00,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,,,431,Hamilton,Avenue,N,Indianapolis,4375,Male,Hispanic,37,Suspect - Handgun,Gunshot Wound,1116,IMPD - Duty Handgun,White,Male,48,14,
110,10060,Traffic Stop,2015/07/20,20:18:00,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,,,3800,33rd,Street,E,Indianapolis,4619,Male,Black,18,,No injuries noted or visible,3035,IMPD - Duty Handgun,White,Male,29,5,
111,9570,Traffic Stop,2015/06/23,18:42:00,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,,Justified,3822,Tacoma,Avenue,N,Indianapolis,4765,Male,White,41,,Gunshot Wound,2844,IMPD - Duty Handgun,Black,Male,36,6,
112,9837,Call For Service,2015/08/09,23:52:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,Justified,3300,Butler,Avenue,N,Indianapolis,4950,Male,Black,15,Suspect - Handgun,Gunshot Wound,2984,IMPD - Duty Handgun,White,Male,31,5,No injuries noted or visible
113,9837,Call For Service,2015/08/09,23:52:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,Justified,3300,Butler,Avenue,N,Indianapolis,4950,Male,Black,15,Suspect - Handgun,Gunshot Wound,3110,IMPD - Duty Handgun,White,Male,40,7,No injuries noted or visible
114,9837,Call For Service,2015/08/09,23:52:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,Justified,3300,Butler,Avenue,N,Indianapolis,4950,Male,Black,15,Suspect - Handgun,Gunshot Wound,2484,IMPD - Duty Handgun,Black,Male,33,8,No injuries noted or visible
115,10155,Investigation,2015/08/17,21:58:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,,4400,Marcy,Lane,N,Indianapolis,4890,Male,Black,21,Suspect - Handgun,Gunshot Wound,2349,IMPD - Duty Handgun,White,Male,51,13,No injuries noted or visible
116,10155,Investigation,2015/08/17,21:58:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,,4400,Marcy,Lane,N,Indianapolis,4890,Male,Black,21,Suspect - Handgun,Gunshot Wound,2751,Personal Patrol Rifle,White,Male,31,8,No injuries noted or visible
117,10165,,2015/08/29,01:11:00,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,,Justified,6900,10th,Street,E,Indianapolis,5022,Male,Black,33,,Gunshot Wound,2886,IMPD - Duty Handgun,White,Male,27,6,
118,11078,,2015/10/26,23:09:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,,,3540,30th,Street,W,Indianapolis,5600,Male,Black,21,Suspect - Handgun,Gunshot Wound,3029,IMPD - Duty Handgun,White,Male,29,5,No injuries noted or visible
119,11821,Call For Service,2015/12/12,11:32:00,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,,7975,Red Mill,Drive,E,Indianapolis,6213,Male,Black,25,Suspect - Knife,Gunshot Wound,1400,IMPD - Duty Handgun,White,Male,44,14,
120,11821,Call For Service,2015/12/12,11:32:00,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,,7975,Red Mill,Drive,E,Indianapolis,6213,Male,Black,25,Suspect - Knife,Gunshot Wound,2080,IMPD - Duty Handgun,White,Male,39,11,
121,11996,,2015/12/10,05:23:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,Justified,2122,Conrad,Avenue,,Indianapolis,6074,Male,White,34,Suspect - Handgun,Death,1308,IMPD - Duty Handgun,White,Male,55,28,No injuries noted or visible
122,11996,,2015/12/10,05:23:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,Justified,2122,Conrad,Avenue,,Indianapolis,6074,Male,White,34,Suspect - Handgun,Death,1495,IMPD - Duty Handgun,White,Male,36,13,No injuries noted or visible
123,12194,,2016/01/07,18:22:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW MIDDLE SHIFT,,,3000,Vermont,Street,W,Indianapolis,6324,Male,White,19,Suspect - Unarmed,No injuries noted or visible,3001,IMPD - Duty Handgun,White,Male,29,5,No injuries noted or visible
124,12323,Call For Service,2014/07/05,21:22:00,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,,Justified,4067,34th,Street,E,Indianapolis,728,Male,Black,26,Suspect - Rifle,Gunshot Wound,2914,IMPD - Duty Handgun,White,Male,32,5,
125,12323,Call For Service,2014/07/05,21:22:00,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,,Justified,4067,34th,Street,E,Indianapolis,728,Male,Black,26,Suspect - Rifle,Gunshot Wound,448,IMPD - Duty Handgun,White,Male,53,22,Gunshot Wound
126,12325,,2014/05/17,19:03:00,OPERATIONS DIVISION,DOWNTOWN  DISTRICT,DT LATE TACT FOOT AND BICYCLE,,Justified,1100,Somerset,Avenue,N,Indianapolis,256,Male,White,23,Suspect - Misc Weapon,No injuries noted or visible,3126,IMPD - Back-Up Handgun,White,Male,30,7,No injuries noted or visible
127,12326,,2014/02/11,23:57:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,Justified,4302,Bradbury,Avenue,W,Indianapolis,37,Male,White,46,Suspect - Handgun,Gunshot Wound,2727,IMPD - Duty Handgun,White,Male,34,9,Complaint of Pain
128,12326,,2014/02/11,23:57:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,Justified,4302,Bradbury,Avenue,W,Indianapolis,37,Male,White,46,Suspect - Handgun,Gunshot Wound,2210,IMPD - Duty Handgun,White,Male,36,10,
129,12326,,2014/02/11,23:57:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,Justified,4302,Bradbury,Avenue,W,Indianapolis,37,Male,White,46,Suspect - Handgun,Gunshot Wound,2487,IMPD - Duty Handgun,White,Male,37,8,
130,12327,,2014/05/30,07:11:00,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,,2622,Dearborn,Avenue,N,Indianapolis,6532,Male,Black,37,Suspect - Handgun,Death,1380,IMPD - Duty Handgun,White,Male,43,13,Gunshot Wound
131,12330,,2014/05/02,01:49:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,Justified,1800,Lawndale,Avenue,S,Indianapolis,269,Male,Black,28,Suspect - Handgun,Gunshot Wound,1308,IMPD - Duty Handgun,White,Male,56,28,
132,12330,,2014/05/02,01:49:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,Justified,1800,Lawndale,Avenue,S,Indianapolis,269,Male,Black,28,Suspect - Handgun,Gunshot Wound,2407,IMPD - Back-Up Handgun,White,Male,34,10,
133,12330,,2014/05/02,01:49:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,Justified,1800,Lawndale,Avenue,S,Indianapolis,269,Male,Black,28,Suspect - Handgun,Gunshot Wound,2210,IMPD - Duty Handgun,White,Male,36,10,
134,12331,,2014/01/10,22:28:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,,Justified,600,30th,Street,W,Indianapolis,6535,Male,Black,20,,No injuries noted or visible,1954,IMPD - Patrol Rifle,White,Male,37,12,
135,12333,,2014/06/14,04:29:00,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,,Justified,3859,Breen,Drive,N,Indianapolis,317,Male,Black,23,Suspect - Handgun,No injuries noted or visible,3121,IMPD - Duty Handgun,Black,Male,40,7,No injuries noted or visible
136,13210,,2016/03/08,04:18:00,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE LATE SHIFT,,,1000,Earhart,Street,S,Indianapolis,7047,Male,White,31,Suspect - Rifle,No injuries noted or visible,1047,IMPD - Duty Handgun,White,Male,40,14,Minor Scrapes
137,13461,,2016/04/02,23:18:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,,,4545,38th,Street,W,Indianapolis,7233,Male,Black,30,Suspect - Handgun,Death,2336,IMPD - Duty Handgun,White,Male,50,15,
138,13526,,2016/03/25,00:46:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,In compliance,1410,Panama,Avenue,N,Indianapolis,7085,Male,White,17,,Gunshot Wound,2210,Personal Patrol Rifle,White,Male,36,10,
139,13671,,2016/04/05,21:06:00,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,,,1001,Rural,Street,N,Indianapolis,7355,Male,Black,45,Suspect - Unarmed,Death,3002,IMPD - Duty Handgun,White,Male,28,6,
140,14680,,2016/04/30,19:21:00,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,,,7900,38th,Street,E,Indianapolis,7577,Male,Black,27,Suspect - Unarmed,No injuries noted or visible,2894,IMPD - Duty Handgun,White,Male,37,6,No injuries noted or visible
141,15826,,2016/08/01,15:44:00,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY SHIFT,SE DAY SHIFT 2ND RC,,5500,Manker,Road,N,Indianapolis,8899,Male,White,36,,Gunshot Wound,1088,IMPD - Duty Handgun,White,Male,39,15,
142,16450,,2016/08/11,17:59:00,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,,,50,Regent,Street,E,Indianapolis,8913,Male,White,31,Suspect - Handgun,Gunshot Wound,3270,IMPD - Duty Handgun,Black,Male,29,1,No injuries noted or visible
143,16450,,2016/08/11,17:59:00,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,,,50,Regent,Street,E,Indianapolis,8913,Male,White,31,Suspect - Handgun,Gunshot Wound,3326,IMPD - Duty Handgun,Black,Male,23,1,No injuries noted or visible
144,16508,,2016/07/25,18:37:00,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,,,2800,Newton,Avenue,,Indianapolis,8699,Male,Black,32,Suspect - Handgun,Death,3065,IMPD - Duty Handgun,Black,Male,34,4,
145,16510,,2016/07/25,18:37:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,,,2800,Newton,Avenue,,Indianapolis,8699,Male,Black,32,Suspect - Handgun,Death,3030,IMPD - Duty Handgun,White,Male,31,6,
146,16511,,2016/07/25,18:37:00,OPERATIONS DIVISION,SOUTHEAST DISTRICT,NEIGHBORHOOD IMPACT,FLEX TEAM,,2800,Newton,Avenue,,Indianapolis,8699,Male,Black,32,,Death,1660,IMPD - Back-Up Handgun,White,Male,36,12,
147,16515,,2016/07/25,18:37:00,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,,,2800,Newton,Avenue,,Indianapolis,8699,Male,Black,32,Suspect - Handgun,Death,3375,IMPD - Duty Handgun,White,Male,27,1,
148,16517,,2016/07/25,18:37:00,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,,,2800,Newton,Avenue,,Indianapolis,8699,Male,Black,32,Suspect - Handgun,Death,2715,IMPD - Duty Handgun,Black,Male,32,9,
149,16523,,2016/07/25,18:37:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,,,2800,Newton,Avenue,,Indianapolis,8699,Male,Black,32,Suspect - Handgun,Death,3289,IMPD - Duty Handgun,White,Male,28,1,
150,16525,,2016/07/25,18:37:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,,,2800,Newton,Avenue,,Indianapolis,8699,Male,Black,32,Suspect - Handgun,Death,1498,IMPD - Duty Handgun,White,Male,37,13,
151,16526,,2016/07/25,18:37:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,,,2800,Newton,,,Indianapolis,8699,Male,Black,32,Suspect - Handgun,Death,2890,IMPD - Duty Handgun,White,Male,36,7,
152,16585,,2016/07/25,18:37:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,,2800,Newton,Avenue,,Indianapolis,8699,Male,Black,32,Suspect - Handgun,Death,3286,IMPD - Duty Handgun,White,Male,30,1,
153,16587,,2016/07/25,18:37:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,,,2800,Newton,,,Indianapolis,8699,Male,Black,32,Suspect - Handgun,Death,3140,IMPD - Patrol Rifle,Black,Male,33,8,
154,16591,,2016/07/25,18:37:00,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,,,2800,Newton,,,Indianapolis,8699,Male,Black,32,Suspect - Handgun,Death,2986,,White,Male,31,6,
155,16592,,2016/07/25,18:37:00,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,,,2800,Newton,Avenue,,Indianapolis,8699,Male,Black,32,Suspect - Handgun,Death,2377,IMPD - Duty Handgun,White,Male,37,11,
156,16593,,2016/07/25,18:37:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,,,2800,Newton,Avenue,,Indianapolis,8699,Male,Black,32,Suspect - Handgun,Death,2256,IMPD - Duty Handgun,White,Male,37,14,
157,16594,,2016/07/25,18:37:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,,,2800,Newton,Avenue,,Indianapolis,8699,Male,Black,32,Suspect - Handgun,Death,3338,IMPD - Duty Handgun,White,Male,30,1,
158,9008,Not Applicable,2014/01/01,,RESERVES,PLATOON 3,SQUAD 1,,Not Justified,7248,McFarland,Avenue,,Indianapolis,11,Male,White,21,,,2253,,White,Male,37,6,
159,9008,Not Applicable,2014/01/01,,RESERVES,PLATOON 3,SQUAD 1,,Not Justified,7248,McFarland,Avenue,,Indianapolis,12,Female,White,19,,,2253,,White,Male,37,6,
160,10466,Investigation,2015/10/05,08:12:00,RESERVES,PLATOON 4,SQUAD 2,,,202,Meridian School,Road,W,Indianapolis,5373,Male,White,47,Suspect - Handgun,,2385,IMPD - Duty Handgun,,Male,34,11,No injuries noted or visible
